,baseMean,log2FoldChange,lfcSE,pvalue,padj
ENSG00000020577,3104.99903050483,1.18991734275913,0.0933602126132589,2.2894805918833e-38,4.48738196009127e-36
ENSG00000119138,1683.27622905212,2.05583191807873,0.162912422137465,2.37495821844466e-38,4.60486522526818e-36
ENSG00000163110,1314.18347975196,1.58782513728464,0.12515284236438,3.11152576823364e-38,5.968833260935e-36
ENSG00000138735,6850.21318844962,-1.16377830327231,0.091823841487829,5.06626527968007e-38,9.61630479191484e-36
ENSG00000071282,3659.86212780504,1.58664996621166,0.126213900754889,1.06873714378625e-37,2.00744460174518e-35
ENSG00000101825,4767.10469108964,-1.30914803011216,0.104342554688177,2.43738738709879e-37,4.53102776950158e-35
ENSG00000246430,2162.53381587847,2.0263811855484,0.164236335438389,8.3651233965083e-37,1.52363540490745e-34
ENSG00000163513,13216.63240217,1.44462860305213,0.116229541769768,1.01563059490534e-36,1.83138508873331e-34
ENSG00000163431,4934.7292907592,1.14926598651423,0.0926825642836271,1.69186895775246e-36,3.02057238081112e-34
ENSG00000046653,1090.45643883243,2.36594570860876,0.19334511374485,2.43440259191848e-36,4.30364191543863e-34
ENSG00000099998,506.243741997388,2.34808486655494,0.192305131925881,3.67817630889245e-36,6.43930827203385e-34
ENSG00000106617,1018.35402511812,1.59746186388024,0.129883831697471,3.89248862558713e-36,6.74897643236415e-34
ENSG00000137809,1115.79483186228,-1.69496515809883,0.138675010942268,5.34083000701178e-36,9.17198539870823e-34
ENSG00000115457,1919.14220160302,2.18476284900838,0.183867824172248,1.30346687667632e-34,2.217369313229e-32
ENSG00000160200,834.069633966776,1.22703723617209,0.102856924691764,5.90483316453691e-34,9.95102351616164e-32
ENSG00000214814,243.273277090711,-3.01812354243701,0.255091274520324,6.73365258398059e-34,1.12427058698461e-31
ENSG00000162772,373.512381807902,1.89415889821594,0.160040753018598,1.16721911539827e-33,1.93094450356528e-31
ENSG00000128923,1415.67710071441,1.02611092530994,0.0863446800855652,1.42236841432742e-33,2.3316497497411e-31
