,baseMean,log2FoldChange,lfcSE,pvalue,padj
ENSG00000005156,205.661595392504,-0.328726213175475,0.166982683542807,0.0217340839824079,0.0847737405084964
ENSG00000005175,312.283338777765,-0.193107910927044,0.129722421996612,0.101757972555318,0.268731658042983
ENSG00000005187,8.73445059403319,0.00543889327900939,0.280681227554004,0.965144979834233,0.986326080286236
ENSG00000005189,75.3289580877458,-0.232819942154613,0.231673461122379,0.166862810052532,0.380676896617822
ENSG00000005194,455.352129529306,0.150023439390552,0.105786934656906,0.131692689646974,0.323923418321406
ENSG00000005206,659.198012799385,0.0575664815896752,0.102840082816862,0.550493087015851,0.766110314507202
ENSG00000005238,703.283913124845,-0.165168151613235,0.105224221219393,0.093994255239929,0.253311076145031
ENSG00000005243,1017.28369123444,-0.0894592661564924,0.0893681058238065,0.293012816558245,0.541573274716513
ENSG00000005249,298.0308955353,0.534878465881458,0.183991769378333,0.000761944717373962,0.00529660259972524
ENSG00000005302,462.125450482054,0.12644697574444,0.118025354800067,0.242939730457039,0.482884670776156
ENSG00000005339,2557.0995586306,-0.0938235145642658,0.097827650108762,0.319266757047706,0.567809267490309
ENSG00000005379,152.234176247732,0.183365457238293,0.170985087705489,0.201811538595677,0.429878323093338
ENSG00000005381,4.50322841772011,0.0127194221599552,0.30101472884211,0.856649120676489,0.940855268125705
ENSG00000005436,257.215345485388,0.12697093553296,0.124748863822411,0.266237447178667,0.510677545403891
ENSG00000005448,232.325480045639,0.245819694493418,0.16249185837707,0.0758548910327056,0.217666358227522
ENSG00000005469,422.109843670998,-0.210037077007351,0.128394429554503,0.0715344815822326,0.208790833909165
ENSG00000005471,33.663699648536,-0.89172977780799,0.38697093428051,0.00157713881477316,0.0098302686166573
ENSG00000005483,1697.33592270124,0.0809577114201781,0.0869331843523961,0.343850377357809,0.59222388387394
ENSG00000005486,850.249707514298,-0.101266025788951,0.0947350213212008,0.257922110359349,0.502034919473205
ENSG00000005513,4.43384385812373,-0.117429509381864,0.327602750233991,0.187522572770044,NA
ENSG00000005700,1158.18614534468,-0.0506009906450639,0.0935759855681317,0.571705386169364,0.78133374502799
ENSG00000005801,210.535787479172,-0.256753374796307,0.147911981983972,0.0490825515337606,0.158550166421575
ENSG00000005810,2420.45766777556,-0.0190561668709928,0.0888803315504085,0.812845163810495,0.920499534409633
ENSG00000005812,1409.31667247605,0.440690420161227,0.11189889640215,2.7049709038337e-05,0.000274639838614467
ENSG00000005882,642.27616938214,-0.0598996865329338,0.110027100165357,0.565129373938344,0.776294116771251
ENSG00000005884,1284.6557363646,0.312019198889216,0.125535907831403,0.00621383327388928,0.0312372014482218
ENSG00000005889,786.828204811663,0.0751015827114108,0.0926185315879489,0.395622471393883,0.641419205554261
ENSG00000005893,5169.74720627403,0.0653655771872776,0.0736827207991113,0.376135571993128,0.622506430029292
ENSG00000005955,1427.89876652029,0.0977122365501351,0.0974791997619635,0.289315714583436,0.537872319620973
